PMID	CUI	Preferred_name	sem_group	score
24970923	C0596019	Chloride Ion	elii	7.49
24970923	C2984285	Endocytosis Pathway	ftcn	5.18
24970923	C1413365	CFTR gene	gngm	3.73
24970923	C0205161	Abnormal	qlco	3.57
24970923	C2699333	Abnormal Reference Range	inpr	3.57
24970923	C0439799	Channel	spco	3.57
24970923	C1706095	Channel Object	cnce	3.57
24970923	C0542341	Function	ftcn	3.57
24970923	C0700205	Function Axis	clas	3.57
24970923	C1705273	Mathematical Operator	inpr	3.57
24970923	C2347472	Percent of Abnormal Cells	qnco	3.57
24970923	C3840880	Traffic	fndg	3.57
24970923	C0231175	failed	ftcn	3.57
24970923	C2825142	Experimental Result	fndg	3.55
24970923	C1274040	Result	ftcn	3.55
24970923	C1546471	What subject filter - Result	idcn	3.55
24970923	C0333117	Retention of content	ftcn	3.43
24970923	C1753315	cellular entity retention	celf	3.43
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	45.40
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	45.40
24970923	C0040363	Togo	geoa	17.80
24970923	C0041260	Tryptophanase	aapp	17.80
24970923	C0041260	Tryptophanase	enzy	17.80
24970923	C0031843	physiological aspects	phsf	14.64
24970923	C1524059	mechanism of action qualifier	ftcn	13.14
24970923	C0005528	Biological Transport	celf	11.49
24970923	C0031330	Pharmacology	bmod	9.99
24970923	C0376649	Addresses (publication format)	inpr	8.34
24970923	C1413365	CFTR gene	gngm	7.33
24970923	C1442065	Address	spco	5.18
24970923	C0596019	Chloride Ion	elii	5.18
24970923	C0542341	Function	ftcn	5.18
24970923	C0700205	Function Axis	clas	5.18
24970923	C1705273	Mathematical Operator	inpr	5.18
24970923	C3495449	Mobility aid	medd	5.18
24970923	C1883351	To	qlco	5.18
24970923	C0750591	consider	idcn	5.18
24970923	C0599896	trafficking	celf	5.18
24970923	C1317949	transport (device)	mnob	5.18
24970923	C3539655	CDISC Findings Class	inpr	3.68
24970923	C2926606	Procedure findings:Finding:Point in time:^Patient:Narrative	clna	3.68
24970923	C2607943	findings aspects	ftcn	3.68
24970923	C0220806	Chemicals	chem	3.63
24970923	C0243067	defects aspect	ftcn	3.61
24970923	C0332185	Recent	tmco	3.50
24970923	C2986495	Synergistic	qlco	3.50
24970923	C1947967	Call (Instruction)	ftcn	3.48
24970923	C0679006	Decision	menp	3.48
24970923	C0700321	Small	qnco	3.48
24970923	C0053225	Benzoic Acid	orch	24.11
24970923	C0053225	Benzoic Acid	phsu	24.11
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.36
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.36
24970923	C0018873	HeLa Cells	cell	16.26
24970923	C3816745	1+	fndg	15.79
24970923	C2827734	1+ Score	qnco	15.79
24970923	C2981698	1+ Score, WHO	clas	15.79
24970923	C1321596	Miglustat	orch	14.64
24970923	C1321596	Miglustat	phsu	14.64
24970923	C0672708	Vorinostat	orch	14.64
24970923	C0672708	Vorinostat	phsu	14.64
24970923	C0053139	benzamide	orch	14.64
24970923	C0031843	physiological aspects	phsf	14.64
24970923	C0020314	Hydroxamic Acids	orch	13.22
24970923	C0076543	threitol	orch	13.08
24970923	C3838680	3+ Answer to Question	fndg	11.32
24970923	C2827736	3+ Score	qnco	11.32
24970923	C2981702	3+ Score, WHO	clas	11.32
24970923	C0439086	<3 (qualifier value)	qnco	11.32
24970923	C3838679	4+ Answer to question	fndg	10.90
24970923	C0740116	+2	qnco	7.36
24970923	C3833492	2+	fndg	7.36
24970923	C2827735	2+ Score	qnco	7.36
24970923	C2981700	2+ Score, WHO	clas	7.36
24970923	C0728893	+5	qnco	7.29
24970923	C0439084	>5	qnco	7.29
24970923	C1161334	Benzoicum acidum, benzoic acid, Homeopathic preparation	orch	5.18
24970923	C1161334	Benzoicum acidum, benzoic acid, Homeopathic preparation	phsu	5.18
24970923	C0542341	Function	ftcn	5.18
24970923	C0700205	Function Axis	clas	5.18
24970923	C1705273	Mathematical Operator	inpr	5.18
24970923	C1524063	Use of	ftcn	5.18
24970923	C3252847	VX 809	orch	5.18
24970923	C3252847	VX 809	phsu	5.18
24970923	C0557651	Room of building - Study	mnob	3.98
24970923	C2603343	Study	resa	3.98
24970923	C0369718	N not otherwise specified Antibody	aapp	3.68
24970923	C0369718	N not otherwise specified Antibody	imft	3.68
24970923	C0441922	N+ (tumor staging)	inpr	3.68
24970923	C1254042	Anatomical maturation	phsf	3.57
24970923	C0678723	Biologic Development	orgf	3.57
24970923	C0870861	Human maturation	phpr	3.57
24970923	C0205195	Combined	qlco	3.56
24970923	C3811910	combination - answer to question	fndg	3.56
24970923	C1947911	combination of objects	phob	3.56
24970923	C1413365	CFTR gene	gngm	3.44
24970923	C0205451	Five	qnco	3.43
24970923	C0672708	Vorinostat	orch	39.84
24970923	C0672708	Vorinostat	phsu	39.84
24970923	C1321596	Miglustat	orch	39.39
24970923	C1321596	Miglustat	phsu	39.39
24970923	C0061202	Genistein	bacs	25.76
24970923	C0061202	Genistein	orch	25.76
24970923	C0061202	Genistein	phsu	25.76
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.43
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.43
24970923	C3252847	VX 809	orch	18.41
24970923	C3252847	VX 809	phsu	18.41
24970923	C0034869	Records	inpr	16.17
24970923	C0917964	Colforsin	orch	16.12
24970923	C0917964	Colforsin	phsu	16.12
24970923	C0242625	Patch-Clamp Techniques	resa	13.18
24970923	C1524063	Use of	ftcn	5.18
24970923	C0178587	density	qnco	3.68
24970923	C1269647	Entire cell	cell	3.65
24970923	C1704632	Disease Response	fndg	3.59
24970923	C2911692	Response (communication)	menp	3.59
24970923	C1706817	Response (statement)	inpr	3.59
24970923	C0871261	Response process	orga	3.59
24970923	C3853788	Record - QueryRequestLimit	qnco	3.55
24970923	C3540027	Adrenergic and dopaminergic agents combinations	phsu	3.54
24970923	C3539975	Aluminium antacid compound combinations	phsu	3.54
24970923	C3539963	Amide local anesthetic combinations	orch	3.54
24970923	C3539963	Amide local anesthetic combinations	phsu	3.54
24970923	C3539979	Antiinfective irrigating solution combinations	phsu	3.54
24970923	C3540722	Beta-lactamase sensitive penicillin combinations	antb	3.54
24970923	C3540722	Beta-lactamase sensitive penicillin combinations	orch	3.54
24970923	C3539977	Calcium antacid compound combinations	phsu	3.54
24970923	C3540720	Caries prophylactic agent combinations	phsu	3.54
24970923	C3539972	Combination solutions for parenteral nutrition	phsu	3.54
24970923	C0453882	Combinations (Undergarment)	mnob	3.54
24970923	C3539968	Enema combinations	phsu	3.54
24970923	C3540026	Hepatitis vaccine combinations	aapp	3.54
24970923	C3540026	Hepatitis vaccine combinations	imft	3.54
24970923	C3540026	Hepatitis vaccine combinations	phsu	3.54
24970923	C0442805	Increase	ftcn	3.54
24970923	C0205217	Increased	qnco	3.54
24970923	C3540723	Insulins and analogs for injection, fast-acting combinations	phsu	3.54
24970923	C3539974	Insulins and analogs for injection, intermediate-acting combinations	phsu	3.54
24970923	C3539967	Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations	phsu	3.54
24970923	C3540719	Intermediate-acting sulfonamide combinations	orch	3.54
24970923	C3540719	Intermediate-acting sulfonamide combinations	phsu	3.54
24970923	C3539965	Local hemostatic combinations	phsu	3.54
24970923	C3539959	Long-acting sulfonamide combinations	orch	3.54
24970923	C3539959	Long-acting sulfonamide combinations	phsu	3.54
24970923	C3539956	Magnesium antacid compound combinations	phsu	3.54
24970923	C3854036	Other anti-dementia drug combinations in ATC	phsu	3.54
24970923	C3539973	Other antifungal combinations for topical use in ATC	phsu	3.54
24970923	C3539960	Other intestinal adsorbent combinations in ATC	phsu	3.54
24970923	C3540028	Other irrigating solution combinations in ATC	phsu	3.54
24970923	C3539976	Penicillins with extended spectrum combinations	antb	3.54
24970923	C3539976	Penicillins with extended spectrum combinations	orch	3.54
24970923	C3539961	Platelet aggregation inhibitor combinations excl. heparin	phsu	3.54
24970923	C3540740	Potassium supplement combinations	phsu	3.54
24970923	C3854307	Presence (property)	qlco	3.54
24970923	C0150312	Present	qnco	3.54
24970923	C0392148	Providing presence (regime/therapy)	topp	3.54
24970923	C3539182	Salt solution combinations	phsu	3.54
24970923	C3539181	Short-acting sulfonamide combinations	orch	3.54
24970923	C3539181	Short-acting sulfonamide combinations	phsu	3.54
24970923	C3539969	Specific immunoglobulin combinations	aapp	3.54
24970923	C3539969	Specific immunoglobulin combinations	imft	3.54
24970923	C3539969	Specific immunoglobulin combinations	phsu	3.54
24970923	C3539970	combination drugs used in erectile dysfunction	phsu	3.54
24970923	C3539978	expectorant combinations excluding combinations with cough suppressants	phsu	3.54
24970923	C3540724	expectorant combinations, excl. combinations with cough suppressants	phsu	3.54
24970923	C3540031	gonadotropin combinations	aapp	3.54
24970923	C3540031	gonadotropin combinations	horm	3.54
24970923	C3540031	gonadotropin combinations	phsu	3.54
24970923	C3539966	insulins and analogs for injection combinations, long-acting	phsu	3.54
24970923	C3539964	local opthalmologic anesthetic combinations	phsu	3.54
24970923	C3539955	lung surfactant combinations	phsu	3.54
24970923	C3539957	opium alkaloids and derivative combination cough suppressants	phsu	3.54
24970923	C3540030	other cough suppressant combinations in ATC	phsu	3.54
24970923	C3540721	other nasal preparation combinations in ATC	phsu	3.54
24970923	C3539971	otologic analgesic and anesthetic combinations	phsu	3.54
24970923	C3539954	topical antibiotic combinations	phsu	3.54
24970923	C3539962	vitamin D and analog combinations	phsu	3.54
24970923	C1719822	Follow	inpr	3.51
24970923	C0332283	Followed by	tmco	3.51
24970923	C1413365	CFTR gene	gngm	3.50
24970923	C0521116	Current (present time)	tmco	3.50
24970923	C1705970	Electrical Current	npop	3.50
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	44.96
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	44.96
24970923	C0033621	Protein C	aapp	12.88
24970923	C0033621	Protein C	bacs	12.88
24970923	C0033621	Protein C	phsu	12.88
24970923	C1413365	CFTR gene	gngm	6.89
24970923	C3540027	Adrenergic and dopaminergic agents combinations	phsu	5.18
24970923	C3539975	Aluminium antacid compound combinations	phsu	5.18
24970923	C3539963	Amide local anesthetic combinations	orch	5.18
24970923	C3539963	Amide local anesthetic combinations	phsu	5.18
24970923	C3539979	Antiinfective irrigating solution combinations	phsu	5.18
24970923	C3540722	Beta-lactamase sensitive penicillin combinations	antb	5.18
24970923	C3540722	Beta-lactamase sensitive penicillin combinations	orch	5.18
24970923	C3539977	Calcium antacid compound combinations	phsu	5.18
24970923	C3540720	Caries prophylactic agent combinations	phsu	5.18
24970923	C3539972	Combination solutions for parenteral nutrition	phsu	5.18
24970923	C0453882	Combinations (Undergarment)	mnob	5.18
24970923	C3539968	Enema combinations	phsu	5.18
24970923	C3540026	Hepatitis vaccine combinations	aapp	5.18
24970923	C3540026	Hepatitis vaccine combinations	imft	5.18
24970923	C3540026	Hepatitis vaccine combinations	phsu	5.18
24970923	C3540723	Insulins and analogs for injection, fast-acting combinations	phsu	5.18
24970923	C3539974	Insulins and analogs for injection, intermediate-acting combinations	phsu	5.18
24970923	C3539967	Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations	phsu	5.18
24970923	C3540719	Intermediate-acting sulfonamide combinations	orch	5.18
24970923	C3540719	Intermediate-acting sulfonamide combinations	phsu	5.18
24970923	C3539965	Local hemostatic combinations	phsu	5.18
24970923	C3539959	Long-acting sulfonamide combinations	orch	5.18
24970923	C3539959	Long-acting sulfonamide combinations	phsu	5.18
24970923	C3539956	Magnesium antacid compound combinations	phsu	5.18
24970923	C3854036	Other anti-dementia drug combinations in ATC	phsu	5.18
24970923	C3539973	Other antifungal combinations for topical use in ATC	phsu	5.18
24970923	C3539960	Other intestinal adsorbent combinations in ATC	phsu	5.18
24970923	C3540028	Other irrigating solution combinations in ATC	phsu	5.18
24970923	C3539976	Penicillins with extended spectrum combinations	antb	5.18
24970923	C3539976	Penicillins with extended spectrum combinations	orch	5.18
24970923	C3539961	Platelet aggregation inhibitor combinations excl. heparin	phsu	5.18
24970923	C3540740	Potassium supplement combinations	phsu	5.18
24970923	C3539182	Salt solution combinations	phsu	5.18
24970923	C3539181	Short-acting sulfonamide combinations	orch	5.18
24970923	C3539181	Short-acting sulfonamide combinations	phsu	5.18
24970923	C3539969	Specific immunoglobulin combinations	aapp	5.18
24970923	C3539969	Specific immunoglobulin combinations	imft	5.18
24970923	C3539969	Specific immunoglobulin combinations	phsu	5.18
24970923	C3539970	combination drugs used in erectile dysfunction	phsu	5.18
24970923	C3539978	expectorant combinations excluding combinations with cough suppressants	phsu	5.18
24970923	C3540724	expectorant combinations, excl. combinations with cough suppressants	phsu	5.18
24970923	C3540031	gonadotropin combinations	aapp	5.18
24970923	C3540031	gonadotropin combinations	horm	5.18
24970923	C3540031	gonadotropin combinations	phsu	5.18
24970923	C3539966	insulins and analogs for injection combinations, long-acting	phsu	5.18
24970923	C3539964	local opthalmologic anesthetic combinations	phsu	5.18
24970923	C3539955	lung surfactant combinations	phsu	5.18
24970923	C3539957	opium alkaloids and derivative combination cough suppressants	phsu	5.18
24970923	C3540030	other cough suppressant combinations in ATC	phsu	5.18
24970923	C3540721	other nasal preparation combinations in ATC	phsu	5.18
24970923	C3539971	otologic analgesic and anesthetic combinations	phsu	5.18
24970923	C3539954	topical antibiotic combinations	phsu	5.18
24970923	C3539962	vitamin D and analog combinations	phsu	5.18
24970923	C1561536	*Activity (kind of quantity)	idcn	3.56
24970923	C0205177	Active	ftcn	3.56
24970923	C0441655	Activities	acty	3.56
24970923	C3668946	Activity (animal life circumstance)	fndg	3.56
24970923	C1705242	Different	qlco	3.56
24970923	C0443199	Differential quality	qlco	3.56
24970923	C1280500	Effect	qlco	3.56
24970923	C2348382	Effect, Appearance	qlco	3.56
24970923	C4049939	FDA Establishment Activity Terminology	inpr	3.56
24970923	C0439167	Percent Activity	qnco	3.56
24970923	C4049938	Physical Activity Measurement	lbpr	3.56
24970923	C0700364	Appearance	qlco	3.54
24970923	C0233426	Personal appearance	orga	3.54
24970923	C0439645	Band form	spco	3.42
24970923	C0175723	Bands	medd	3.42
24970923	C1521913	Chromosome band	celc	3.42
24970923	C0205286	Mature	tmco	3.42
24970923	C1418943	PROC gene	gngm	3.42
24970923	C1168438	Protein C antigen measurement	lbpr	3.42
24970923	C1949480	protein C, human	aapp	3.42
24970923	C1949480	protein C, human	bacs	3.42
24970923	C1949480	protein C, human	phsu	3.42
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.47
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.47
24970923	C0034869	Records	inpr	16.59
24970923	C0000936	Visual Accommodation	clna	9.85
24970923	C2348236	Specimen at Room Temperature	qlco	5.18
24970923	C3167821	Temperature.ambient:Temperature:Point in time:Room:Quantitative	clna	5.18
24970923	C3853788	Record - QueryRequestLimit	qnco	3.98
24970923	C0456079	Disease classification level	clas	3.57
24970923	C1547707	Floor - story of building	geoa	3.57
24970923	C0205250	High	qlco	3.57
24970923	C2946261	Level	phsu	3.57
24970923	C0441889	Levels (qualifier value)	qlco	3.57
24970923	C2981153	Finding related to focusing	fndg	3.54
24970923	C1413365	CFTR gene	gngm	3.54
24970923	C1444783	Instability	fndg	3.54
24970923	C1947976	Correction (change)	ftcn	3.44
24970923	C1705565	Correction Report	inpr	3.44
24970923	C3252847	VX 809	orch	3.44
24970923	C3252847	VX 809	phsu	3.44
24970923	C0678420	Cocktail	food	3.42
24970923	C0021966	Iodides	inch	17.80
24970923	C0012634	Disease	dsyn	9.83
24970923	C0221138	Blood group antibody I	aapp	5.18
24970923	C0221138	Blood group antibody I	imft	5.18
24970923	C4049713	Borg Category-Ratio 10 Perceived Exertion Score 10	inpr	5.18
24970923	C0205198	Compound	qlco	5.18
24970923	C1706082	Compound (substance)	chem	5.18
24970923	C0205289	Maximal (qualifier value)	qlco	5.18
24970923	C0806909	Maximum	qnco	5.18
24970923	C2348205	Similarity	qlco	3.59
24970923	C1524063	Use of	ftcn	3.58
24970923	C0456079	Disease classification level	clas	3.56
24970923	C1547707	Floor - story of building	geoa	3.56
24970923	C2946261	Level	phsu	3.56
24970923	C0441889	Levels (qualifier value)	qlco	3.56
24970923	C1301820	Obtain	ftcn	3.55
24970923	C2698651	Optimum	qlco	3.55
24970923	C0277564	Acquired disease	dsyn	3.52
24970923	C1834645	Acquired disorder	fndg	3.52
24970923	C0348080	Condition	qlco	3.52
24970923	C3864998	Condition:Find:Pt:^Patient:Nom	clna	3.52
24970923	C1705253	Logical Condition	cnce	3.52
24970923	C3252847	VX 809	orch	3.43
24970923	C3252847	VX 809	phsu	3.43
24970923	C0542341	Function	ftcn	3.43
24970923	C0205245	Functional	ftcn	3.43
24970923	C2700217	Functional Relationship	cnce	3.43
24970923	C0439227	Hour	tmco	3.42
24970923	C1442770	24 Hours	tmco	3.44
24970923	C0439584	24 hour time frame	tmco	3.44
24970923	C3252847	VX 809	orch	3.44
24970923	C3252847	VX 809	phsu	3.44
24970923	C0456696	per 24 hours	tmco	3.44
24970923	C0917964	Colforsin	orch	32.99
24970923	C0917964	Colforsin	phsu	32.99
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.36
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.36
24970923	C0393003	potassium oxonate	orch	13.09
24970923	C0393003	potassium oxonate	phsu	13.09
24970923	C0754515	TERT protein, human	aapp	12.92
24970923	C0754515	TERT protein, human	enzy	12.92
24970923	C3838679	4+ Answer to question	fndg	7.11
24970923	C0007634	Cells	cell	5.18
24970923	C3282337	Cells [Chemical/Ingredient]	cell	5.18
24970923	C1707455	Comparison	acty	5.18
24970923	C2741958	VX-770	orch	3.75
24970923	C0369718	N not otherwise specified Antibody	aapp	3.68
24970923	C0369718	N not otherwise specified Antibody	imft	3.68
24970923	C0441922	N+ (tumor staging)	inpr	3.68
24970923	C3252847	VX 809	orch	3.61
24970923	C3252847	VX 809	phsu	3.61
24970923	C0205202	Corrected	qlco	3.56
24970923	C1948023	Stimulation (motivation)	npop	3.56
24970923	C1292856	Stimulation procedure	topp	3.56
24970923	C0450367	4/5	qnco	3.51
24970923	C3541881	Device Identifiers Domain	idcn	3.46
24970923	C3538902	SLC4A1 wt Allele	gngm	3.46
24970923	C1367342	TERT gene	gngm	3.46
24970923	C1705316	TERT wt Allele	gngm	3.46
24970923	C1413365	CFTR gene	gngm	3.43
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	45.32
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	45.32
24970923	C0039476	Temperature	qnco	19.21
24970923	C0040363	Togo	geoa	17.80
24970923	C0041260	Tryptophanase	aapp	17.80
24970923	C0041260	Tryptophanase	enzy	17.80
24970923	C0005903	Body Temperature	orga	16.05
24970923	C3658324	Polypharmacology	ocdi	12.88
24970923	C1413365	CFTR gene	gngm	7.24
24970923	C0175566	Open	spco	5.18
24970923	C1547282	Show	anim	5.18
24970923	C1883351	To	qlco	5.18
24970923	C2825142	Experimental Result	fndg	3.98
24970923	C1274040	Result	ftcn	3.98
24970923	C1546471	What subject filter - Result	idcn	3.98
24970923	C1705535	suggestion	idcn	3.98
24970923	C3640044	Cardiac Lead Function Indicator	cnce	3.56
24970923	C0205195	Combined	qlco	3.56
24970923	C1280500	Effect	qlco	3.56
24970923	C2348382	Effect, Appearance	qlco	3.56
24970923	C3811910	combination - answer to question	fndg	3.56
24970923	C1947911	combination of objects	phob	3.56
24970923	C1947976	Correction (change)	ftcn	3.55
24970923	C1705565	Correction Report	inpr	3.55
24970923	C0456079	Disease classification level	clas	3.55
24970923	C1547707	Floor - story of building	geoa	3.55
24970923	C2946261	Level	phsu	3.55
24970923	C0441889	Levels (qualifier value)	qlco	3.55
24970923	C0332272	Better	qlco	3.54
24970923	C3898777	Important	qlco	3.51
24970923	C0678723	Biologic Development	orgf	3.42
24970923	C1527148	Development	ftcn	3.42
24970923	C0205314	New	qlco	3.42
24970923	C2986495	Synergistic	qlco	3.42
24970923	C0243107	development aspects	phsf	3.42
25473543	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.50
25473543	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.50
25473543	C0039798	therapeutic aspects	ftcn	22.47
25473543	C3264621	ivacaftor	orch	12.88
25473543	C3264621	ivacaftor	phsu	12.88
25473543	C0010674	Cystic Fibrosis	dsyn	11.49
25473543	C0026882	Mutation	genf	9.91
25473543	C0030705	Patients	podg	6.57
25473543	C1705285	Mutation Abnormality	comd	3.60
25473543	C1413365	CFTR gene	gngm	3.58
25473543	C0087111	Therapeutic procedure	topp	3.54
25473543	C1363945	Therapy Object (animal model)	fndg	3.54
25473543	C0314622	Immune suppressor gene	gngm	3.43
25473543	C1552740	Entity Determiner - specific	inpr	3.42
25473543	C0442027	Oral	spco	3.42
25473543	C0205369	Specific qualifier value	qlco	3.42
25473543	C2348077	Date Fruit	food	27.26
25473543	C0282461	Phase 3 Clinical Trials	resa	22.57
25473543	C0009738	Congo	geoa	16.05
25473543	C0030705	Patients	podg	13.81
25473543	C0024115	Lung diseases	dsyn	8.34
25473543	C0011008	Date in time	tmco	5.18
25473543	C0445223	Related personal status	fndg	5.18
25473543	C0439849	Relationships	qlco	5.18
25473543	C1533716	Information	idcn	3.68
25473543	C0470187	Availability of	ftcn	3.57
25473543	C1554077	Excluded - Conformance Inclusion	idcn	3.55
25473543	C2828389	Exclusion	acty	3.55
25473543	C0439801	Limited (extensiveness)	ftcn	3.50
25473543	C4050251	Limited Lifting Ability	inpr	3.50
25473543	C2674459	Limited Walking Ability	fndg	3.50
25473543	C3542948	Limited component (foundation metadata concept)	inpr	3.50
25473543	C0814225	benefit	qnco	3.44
25473543	C4050466	Borg Category-Ratio 10 Perceived Exertion Score 5	inpr	3.43
25473543	C3811819	CFTR wt Allele	gngm	3.43
25473543	C0205082	Severe (severity modifier)	qlco	3.43
25473543	C4050465	Severe Extremity Pain	inpr	3.43
25473543	C0038990	Sweating	fndg	19.27
25473543	C0006560	C-reactive protein	aapp	16.26
25473543	C0006560	C-reactive protein	imft	16.26
25473543	C0026882	Mutation	genf	9.99
25473543	C0038984	Sweat	bdsu	9.81
25473543	C0001675	Adult	aggp	9.74
25473543	C1274040	Result	ftcn	6.96
25473543	C0024115	Lung diseases	dsyn	6.91
25473543	C0013832	Electrolytes	inch	6.83
25473543	C0013832	Electrolytes	phsu	6.83
25473543	C0024109	Lung	bpoc	6.63
25473543	C3273238	Regulatory Report	inpr	5.18
25473543	C0684224	Report (document)	inpr	5.18
25473543	C0700287	Reporting	hlca	5.18
25473543	C0679246	advanced disease	fndg	3.78
